eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
15.8,16.0,5,0.0,Stimuli\Blank.png,0,0,0,8,8,8,,,,,,,,,,,,,15.813658999999461,0.01365899999946052,None,61.73599679999825,61.73599679999825,61.73599679999825,61.73599679999825,61.73599679999825,61.73599679999825,61.73599679999825,61.73599679999825,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
16.0,16.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Gun_00001.png,1,1,0,9,9,9,,,,,,,,,,,,,16.01307579999775,0.013075799997750437,None,61.936045299997204,61.936045299997204,61.936045299997204,61.936045299997204,61.936045299997204,61.936045299997204,61.936045299997204,61.936045299997204,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
16.8,17.0,5,0.0,Stimuli\Blank.png,0,0,0,10,10,10,,,,,,,,,,,,,16.814059599997563,0.014059599997562344,None,62.73670189999757,62.73670189999757,62.73670189999757,62.73670189999757,62.73670189999757,62.73670189999757,62.73670189999757,62.73670189999757,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
17.0,17.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Brush_00001.png,0,0,0,11,11,11,,,,,,,,,,,,,17.015481599999475,0.015481599999475293,None,62.95355219999692,62.95355219999692,62.95355219999692,62.95355219999692,62.95355219999692,62.95355219999692,62.95355219999692,62.95355219999692,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
17.8,18.0,5,0.0,Stimuli\Blank.png,0,0,0,12,12,12,,,,,,,,,,,,,17.815763599999627,0.01576359999962662,None,63.754267999996955,63.754267999996955,63.754267999996955,63.754267999996955,63.754267999996955,63.754267999996955,63.754267999996955,63.754267999996955,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
18.0,18.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Knife_00001.png,0,0,0,13,13,13,,,,,,,,,,,,,18.014393199999176,0.014393199999176431,None,63.938630399999965,63.938630399999965,63.938630399999965,63.938630399999965,63.938630399999965,63.938630399999965,63.938630399999965,63.938630399999965,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
18.8,19.0,5,0.0,Stimuli\Blank.png,0,0,0,14,14,14,,,,,,,,,,,,,18.81592829999863,0.01592829999863099,None,64.7384650999993,64.7384650999993,64.7384650999993,64.7384650999993,64.7384650999993,64.7384650999993,64.7384650999993,64.7384650999993,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
19.0,19.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Toilet_00001.png,0,0,0,15,15,15,,,,,,,,,,,,,19.000325999997585,0.0003259999975853134,None,64.93865119999828,64.93865119999828,64.93865119999828,64.93865119999828,64.93865119999828,64.93865119999828,64.93865119999828,64.93865119999828,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
19.8,20.0,5,0.0,Stimuli\Blank.png,0,0,0,16,16,16,,,,,,,,,,,,,19.817871999999625,0.017871999999623966,None,65.7393579999989,65.7393579999989,65.7393579999989,65.7393579999989,65.7393579999989,65.7393579999989,65.7393579999989,65.7393579999989,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
20.0,20.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Card_00001.png,0,0,0,17,17,17,,,,,,,,,,,,,20.000224600000365,0.00022460000036517158,None,65.9395177999977,65.9395177999977,65.9395177999977,65.9395177999977,65.9395177999977,65.9395177999977,65.9395177999977,65.9395177999977,001,P017,2025_Mar_07_1528,CategoryLocalizer,2021.2.3,59.94262292189019,
