eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
23.8,24.0,5,0.0,Stimuli\Blank.png,0,0,0,24,24,24,,,,,,,,,,,,,23.837031600000046,0.03703160000004502,None,47.459825800000544,47.459825800000544,47.459825800000544,47.459825800000544,47.459825800000544,47.459825800000544,47.459825800000544,47.459825800000544,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
24.0,24.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Pot_00001.png,0,0,0,25,25,25,,,,,,,,,,,,,24.005740599999626,0.0057405999996262835,None,47.643326100000195,47.643326100000195,47.643326100000195,47.643326100000195,47.643326100000195,47.643326100000195,47.643326100000195,47.643326100000195,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
24.8,25.0,5,0.0,Stimuli\Blank.png,0,0,0,26,26,26,,,,,,,,,,,,,24.821025799999916,0.02102579999991505,None,48.4440295000004,48.4440295000004,48.4440295000004,48.4440295000004,48.4440295000004,48.4440295000004,48.4440295000004,48.4440295000004,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
25.0,25.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Stool_00001.png,0,0,0,27,27,27,,,,,,,,,,,,,25.00406230000044,0.00406230000044161,None,48.64424070000132,48.64424070000132,48.64424070000132,48.64424070000132,48.64424070000132,48.64424070000132,48.64424070000132,48.64424070000132,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
25.8,26.0,5,0.0,Stimuli\Blank.png,0,0,0,28,28,28,,,,,,,,,,,,,25.821468399999503,0.021468399999502452,None,49.44491550000021,49.44491550000021,49.44491550000021,49.44491550000021,49.44491550000021,49.44491550000021,49.44491550000021,49.44491550000021,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
26.0,26.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Wagon_00001.png,0,0,0,29,29,29,,,,,,,,,,,,,26.005313300000125,0.0053133000001253095,None,49.6451104000007,49.6451104000007,49.6451104000007,49.6451104000007,49.6451104000007,49.6451104000007,49.6451104000007,49.6451104000007,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
26.8,27.0,5,0.0,Stimuli\Blank.png,0,0,0,30,30,30,,,,,,,,,,,,,26.822410000000673,0.02241000000067217,None,50.445873000000574,50.445873000000574,50.445873000000574,50.445873000000574,50.445873000000574,50.445873000000574,50.445873000000574,50.445873000000574,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
27.0,27.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Bench_00001.png,0,0,0,31,31,31,,,,,,,,,,,,,27.00647089999984,0.006470899999840185,None,50.62929660000009,50.62929660000009,50.62929660000009,50.62929660000009,50.62929660000009,50.62929660000009,50.62929660000009,50.62929660000009,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
27.8,28.0,5,0.0,Stimuli\Blank.png,0,0,0,32,32,32,,,,,,,,,,,,,27.80670149999969,0.0067014999996892755,None,51.43000410000059,51.43000410000059,51.43000410000059,51.43000410000059,51.43000410000059,51.43000410000059,51.43000410000059,51.43000410000059,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
28.0,28.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Hanging_00002.png,0,0,0,33,33,33,,,,,,,,,,,,,28.007185200000094,0.007185200000094483,None,51.646908800001256,51.646908800001256,51.646908800001256,51.646908800001256,51.646908800001256,51.646908800001256,51.646908800001256,51.646908800001256,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
28.8,29.0,5,0.0,Stimuli\Blank.png,0,0,0,34,34,34,,,,,,,,,,,,,28.82448680000016,0.024486800000158127,None,52.447568700001284,52.447568700001284,52.447568700001284,52.447568700001284,52.447568700001284,52.447568700001284,52.447568700001284,52.447568700001284,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
29.0,29.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_SittingChair_00001.png,0,0,0,35,35,35,,,,,,,,,,,,,29.008165100000042,0.008165100000042003,None,52.647755800000596,52.647755800000596,52.647755800000596,52.647755800000596,52.647755800000596,52.647755800000596,52.647755800000596,52.647755800000596,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
29.8,30.0,5,0.0,Stimuli\Blank.png,0,0,0,36,36,36,,,,,,,,,,,,,29.826041099999202,0.026041099999201123,None,53.44845830000122,53.44845830000122,53.44845830000122,53.44845830000122,53.44845830000122,53.44845830000122,53.44845830000122,53.44845830000122,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
30.0,30.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_DownwardDog_00006.png,0,0,0,37,37,37,,,,,,,,,,,,,30.00901569999951,0.009015699999508797,None,53.66534420000062,53.66534420000062,53.66534420000062,53.66534420000062,53.66534420000062,53.66534420000062,53.66534420000062,53.66534420000062,001,P014,2025_Feb_28_1529,CategoryLocalizer,2021.2.3,59.940826416104265,
