eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.rt,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,session,participant,date,expName,psychopyVersion,frameRate,
23.8,24.0,5,0.0,Stimuli\Blank.png,0,0,0,24,24,24,,,,,,,,,,,,,23.819057100000464,0.019057100000463123,None,,55.89681910000036,55.89681910000036,55.89681910000036,55.89681910000036,55.89681910000036,55.89681910000036,55.89681910000036,55.89681910000036,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
24.0,24.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Door_00001.png,0,0,0,25,25,25,,,,,,,,,,,,,24.00432020000062,0.004320200000620389,None,,56.11372279999978,56.11372279999978,56.11372279999978,56.11372279999978,56.11372279999978,56.11372279999978,56.11372279999978,56.11372279999978,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
24.8,25.0,5,0.0,Stimuli\Blank.png,0,0,0,26,26,26,,,,,,,,,,,,,24.8391014000008,0.0391014000007992,None,,56.93108159999974,56.93108159999974,56.93108159999974,56.93108159999974,56.93108159999974,56.93108159999974,56.93108159999974,56.93108159999974,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
25.0,25.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Pillow_00001.png,0,0,0,27,27,27,,,,,,,,,,,,,25.02092940000057,0.02092940000056842,None,,57.131258600000365,57.131258600000365,57.131258600000365,57.131258600000365,57.131258600000365,57.131258600000365,57.131258600000365,57.131258600000365,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
25.8,26.0,5,0.0,Stimuli\Blank.png,0,0,0,28,28,28,,,,,,,,,,,,,25.839642300000378,0.03964230000037716,5,0.12337560000014491,57.93197929999951,57.93197929999951,57.93197929999951,57.93197929999951,57.93197929999951,57.93197929999951,57.93197929999951,57.93197929999951,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
26.0,26.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Whistle_00001.png,0,0,0,29,29,29,,,,,,,,,,,,,26.02126640000006,0.02126640000005864,None,,58.11552539999957,58.11552539999957,58.11552539999957,58.11552539999957,58.11552539999957,58.11552539999957,58.11552539999957,58.11552539999957,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
26.8,27.0,5,0.0,Stimuli\Blank.png,0,0,0,30,30,30,,,,,,,,,,,,,26.822310600000492,0.02231060000049112,None,,58.899560400000155,58.899560400000155,58.899560400000155,58.899560400000155,58.899560400000155,58.899560400000155,58.899560400000155,58.899560400000155,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
27.0,27.8,1,0.75,Stimuli\ImageFiles-Set1\Objects\Object_Key_00001.png,0,0,0,31,31,31,,,,,,,,,,,,,27.005497000000105,0.00549700000010489,None,,59.08297800000037,59.08297800000037,59.08297800000037,59.08297800000037,59.08297800000037,59.08297800000037,59.08297800000037,59.08297800000037,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
27.8,28.0,5,0.0,Stimuli\Blank.png,0,0,0,32,32,32,,,,,,,,,,,,,27.806185500000538,0.006185500000537303,None,,59.88368179999998,59.88368179999998,59.88368179999998,59.88368179999998,59.88368179999998,59.88368179999998,59.88368179999998,59.88368179999998,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
28.0,28.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Lunging_00003.png,0,0,0,33,33,33,,,,,,,,,,,,,28.006860600000437,0.006860600000436534,None,,60.10054149999996,60.10054149999996,60.10054149999996,60.10054149999996,60.10054149999996,60.10054149999996,60.10054149999996,60.10054149999996,001,P006,2025_Jan_25_1146,CategoryLocalizer,2021.2.3,59.93317451025591,
