eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,participantResponse.rt,session,participant,date,expName,psychopyVersion,frameRate,
28.0,28.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Standing_00001.png,0,0,0,33,33,33,,,,,,,,,,,,,28.00619490000099,0.006194900000991765,None,62.82721200000378,62.82721200000378,62.82721200000378,62.82721200000378,62.82721200000378,62.82721200000378,62.82721200000378,62.82721200000378,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
28.8,29.0,5,0.0,Stimuli\Blank.png,0,0,0,34,34,34,,,,,,,,,,,,,28.806699000000663,0.0066990000006619255,None,63.62795100000221,63.62795100000221,63.62795100000221,63.62795100000221,63.62795100000221,63.62795100000221,63.62795100000221,63.62795100000221,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
29.0,29.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Jumping_00002.png,0,0,0,35,35,35,,,,,,,,,,,,,29.007015399998636,0.007015399998635985,None,63.828129100002116,63.828129100002116,63.828129100002116,63.828129100002116,63.828129100002116,63.828129100002116,63.828129100002116,63.828129100002116,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
29.8,30.0,5,0.0,Stimuli\Blank.png,0,0,0,36,36,36,,,,,,,,,,,,,29.807809999998426,0.007809999998425354,None,64.62883259999944,64.62883259999944,64.62883259999944,64.62883259999944,64.62883259999944,64.62883259999944,64.62883259999944,64.62883259999944,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
30.0,30.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Pushing_00005.png,0,0,0,37,37,37,,,,,,,,,,,,,30.007966999997734,0.007966999997734092,None,64.82901449999918,64.82901449999918,64.82901449999918,64.82901449999918,64.82901449999918,64.82901449999918,64.82901449999918,64.82901449999918,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
30.8,31.0,5,0.0,Stimuli\Blank.png,0,0,0,38,38,38,,,,,,,,,,,,,30.811162699996203,0.011162699996202008,None,65.64642000000458,65.64642000000458,65.64642000000458,65.64642000000458,65.64642000000458,65.64642000000458,65.64642000000458,65.64642000000458,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
31.0,31.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_DownwardDog_00003.png,0,0,0,39,39,39,,,,,,,,,,,,,31.02655059999961,0.026550599999609403,None,65.84658250000211,65.84658250000211,65.84658250000211,65.84658250000211,65.84658250000211,65.84658250000211,65.84658250000211,65.84658250000211,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
31.8,32.0,5,0.0,Stimuli\Blank.png,0,0,0,40,40,40,,,,,,,,,,,,,31.81078179999895,0.010781799998948571,None,66.63062460000219,66.63062460000219,66.63062460000219,66.63062460000219,66.63062460000219,66.63062460000219,66.63062460000219,66.63062460000219,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
32.0,32.8,2,0.75,Stimuli\ImageFiles-Set1\Bodies\Bodies_Kneeling_00007.png,0,0,0,41,41,41,,,,,,,,,,,,,32.0097151000009,0.009715100000903476,None,66.83077970000159,66.83077970000159,66.83077970000159,66.83077970000159,66.83077970000159,66.83077970000159,66.83077970000159,66.83077970000159,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
32.8,33.0,5,0.0,Stimuli\Blank.png,0,0,0,42,42,42,,,,,,,,,,,,,32.81150649999472,0.01150649999472364,None,67.631501200005,67.631501200005,67.631501200005,67.631501200005,67.631501200005,67.631501200005,67.631501200005,67.631501200005,,001,P018,2025_Mar_07_1805,CategoryLocalizer,2021.2.3,59.939101871071834,
