eventStartTime,eventEndTime,eventCond,imSize,imFile,repeatedImage,responseEvent,Events.thisRepN,Events.thisTrialN,Events.thisN,Events.thisIndex,Instructions.started,Instructions.stopped,participantReadyResponse.keys,participantReadyResponse.rt,participantReadyResponse.started,participantReadyResponse.stopped,startWaitforTrigger,triggerResponse.keys,triggerResponse.rt,triggerResponse.started,triggerResponse.stopped,globalTimer,actualStartTime,startTimingDiff,participantResponse.keys,participantResponse.started,participantResponse.stopped,image.started,image.stopped,fixationOutside.started,fixationOutside.stopped,fixationInside.started,fixationInside.stopped,participantResponse.rt,session,participant,date,expName,psychopyVersion,frameRate,
26.8,27.0,5,0.0,Stimuli\Blank.png,0,0,0,30,30,30,,,,,,,,,,,,,26.83917250000013,0.03917250000013084,None,64.33696899999995,64.33696899999995,64.33696899999995,64.33696899999995,64.33696899999995,64.33696899999995,64.33696899999995,64.33696899999995,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
27.0,27.8,1,0.75,Stimuli\ImageFiles-Set2\Objects\Object_Fork_00001.png,0,0,0,31,31,31,,,,,,,,,,,,,27.00602450000042,0.00602450000042154,None,64.52047009999933,64.52047009999933,64.52047009999933,64.52047009999933,64.52047009999933,64.52047009999933,64.52047009999933,64.52047009999933,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
27.8,28.0,5,0.0,Stimuli\Blank.png,0,0,0,32,32,32,,,,,,,,,,,,,27.825275600000168,0.025275600000167486,None,65.33791789999941,65.33791789999941,65.33791789999941,65.33791789999941,65.33791789999941,65.33791789999941,65.33791789999941,65.33791789999941,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
28.0,28.8,2,0.75,Stimuli\ImageFiles-Set2\Bodies\Bodies_SittingChair_00006.png,0,0,0,33,33,33,,,,,,,,,,,,,28.023751400000037,0.023751400000037393,None,65.5380800999992,65.5380800999992,65.5380800999992,65.5380800999992,65.5380800999992,65.5380800999992,65.5380800999992,65.5380800999992,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
28.8,29.0,5,0.0,Stimuli\Blank.png,0,0,0,34,34,34,,,,,,,,,,,,,28.82478600000013,0.024786000000130315,None,66.32205949999934,66.32205949999934,66.32205949999934,66.32205949999934,66.32205949999934,66.32205949999934,66.32205949999934,66.32205949999934,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
29.0,29.8,2,0.75,Stimuli\ImageFiles-Set2\Bodies\Bodies_Punching_00005.png,0,0,0,35,35,35,,,,,,,,,,,,,29.00889720000032,0.008897200000319572,None,66.5222206999997,66.5222206999997,66.5222206999997,66.5222206999997,66.5222206999997,66.5222206999997,66.5222206999997,66.5222206999997,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
29.8,30.0,5,0.0,Stimuli\Blank.png,0,0,0,36,36,36,,,,,,,,,,,,,29.8252949000007,0.02529490000069856,None,67.3229339999998,67.3229339999998,67.3229339999998,67.3229339999998,67.3229339999998,67.3229339999998,67.3229339999998,67.3229339999998,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
30.0,30.8,2,0.75,Stimuli\ImageFiles-Set2\Bodies\Bodies_Waving_00006.png,0,0,0,37,37,37,,,,,,,,,,,,,30.00811860000067,0.008118600000670995,None,67.523099,67.523099,67.523099,67.523099,67.523099,67.523099,67.523099,67.523099,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
30.8,31.0,5,0.0,Stimuli\Blank.png,0,0,0,38,38,38,,,,,,,,,,,,,30.825453800000105,0.02545380000010411,None,68.32381279999936,68.32381279999936,68.32381279999936,68.32381279999936,68.32381279999936,68.32381279999936,68.32381279999936,68.32381279999936,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
31.0,31.8,2,0.75,Stimuli\ImageFiles-Set2\Bodies\Bodies_Waving_00006.png,1,1,0,39,39,39,,,,,,,,,,,,,31.01008350000029,0.010083500000291679,1,68.50732040000003,68.50732040000003,68.50732040000003,68.50732040000003,68.50732040000003,68.50732040000003,68.50732040000003,68.50732040000003,0.49654129999998986,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
31.8,32.0,5,0.0,Stimuli\Blank.png,0,0,0,40,40,40,,,,,,,,,,,,,31.80974409999999,0.009744099999988265,None,69.30801959999917,69.30801959999917,69.30801959999917,69.30801959999917,69.30801959999917,69.30801959999917,69.30801959999917,69.30801959999917,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
32.0,32.8,2,0.75,Stimuli\ImageFiles-Set2\Bodies\Bodies_Kneeling_00006.png,0,0,0,41,41,41,,,,,,,,,,,,,32.00972490000004,0.00972490000003745,None,69.54155649999939,69.54155649999939,69.54155649999939,69.54155649999939,69.54155649999939,69.54155649999939,69.54155649999939,69.54155649999939,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
32.8,33.0,5,0.0,Stimuli\Blank.png,0,0,0,42,42,42,,,,,,,,,,,,,32.845066300000326,0.04506630000032885,None,70.34226619999936,70.34226619999936,70.34226619999936,70.34226619999936,70.34226619999936,70.34226619999936,70.34226619999936,70.34226619999936,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
33.0,33.8,2,0.75,Stimuli\ImageFiles-Set2\Bodies\Bodies_Running_00007.png,0,0,0,43,43,43,,,,,,,,,,,,,33.01084390000051,0.010843900000509166,None,70.52584619999925,70.52584619999925,70.52584619999925,70.52584619999925,70.52584619999925,70.52584619999925,70.52584619999925,70.52584619999925,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
33.8,34.0,5,0.0,Stimuli\Blank.png,0,0,0,44,44,44,,,,,,,,,,,,,33.82801080000081,0.02801080000081413,None,71.3265277999999,71.3265277999999,71.3265277999999,71.3265277999999,71.3265277999999,71.3265277999999,71.3265277999999,71.3265277999999,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
34.0,34.8,2,0.75,Stimuli\ImageFiles-Set2\Bodies\Bodies_Running_00005.png,0,0,0,45,45,45,,,,,,,,,,,,,34.01156030000038,0.011560300000382995,None,71.5433865999994,71.5433865999994,71.5433865999994,71.5433865999994,71.5433865999994,71.5433865999994,71.5433865999994,71.5433865999994,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
34.8,35.0,5,0.0,Stimuli\Blank.png,0,0,0,46,46,46,,,,,,,,,,,,,34.84636490000048,0.046364900000483544,None,72.34402769999997,72.34402769999997,72.34402769999997,72.34402769999997,72.34402769999997,72.34402769999997,72.34402769999997,72.34402769999997,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
35.0,35.8,2,0.75,Stimuli\ImageFiles-Set2\Bodies\Bodies_SittingFloor_00006.png,0,0,0,47,47,47,,,,,,,,,,,,,35.0141777000008,0.014177700000800542,None,72.54421789999924,72.54421789999924,72.54421789999924,72.54421789999924,72.54421789999924,72.54421789999924,72.54421789999924,72.54421789999924,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
35.8,36.0,5,0.0,Stimuli\Blank.png,0,0,0,48,48,48,,,,,,,,,,,,,35.84648090000064,0.04648090000064542,None,73.34491039999921,73.34491039999921,73.34491039999921,73.34491039999921,73.34491039999921,73.34491039999921,73.34491039999921,73.34491039999921,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
36.0,36.8,2,0.75,Stimuli\ImageFiles-Set2\Bodies\Bodies_Running_00002.png,0,0,0,49,49,49,,,,,,,,,,,,,36.01362560000052,0.013625600000523264,None,73.51172559999941,73.51172559999941,73.51172559999941,73.51172559999941,73.51172559999941,73.51172559999941,73.51172559999941,73.51172559999941,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
36.8,37.0,5,0.0,Stimuli\Blank.png,0,0,0,50,50,50,,,,,,,,,,,,,36.814914400000816,0.014914400000819228,None,74.31244949999927,74.31244949999927,74.31244949999927,74.31244949999927,74.31244949999927,74.31244949999927,74.31244949999927,74.31244949999927,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
37.0,37.8,2,0.75,Stimuli\ImageFiles-Set2\Bodies\Bodies_SittingStretch_00006.png,0,0,0,51,51,51,,,,,,,,,,,,,37.01425290000043,0.014252900000428781,None,74.51261579999937,74.51261579999937,74.51261579999937,74.51261579999937,74.51261579999937,74.51261579999937,74.51261579999937,74.51261579999937,,002,P021,2025_May_08_1225,CategoryLocalizer,2021.2.3,59.930875727906916,
