subject,runtype,smoothing,median_rel,mean_rel,ROI,run
01,er,unsmoothed,-0.017352712423936587,-0.014437547258462661,EVC,3
01,er,sm_2_vox,0.016107715511413566,0.017798777620893606,EVC,1
01,er,sm_2_vox,0.01874129432344037,0.020498519728078257,EVC,2
01,er,sm_2_vox,0.019179702992537594,0.022577843265080284,EVC,3
02,miniblock,unsmoothed,0.09089071910442043,0.09568916520336704,visually_responsive_voxels,1
02,miniblock,unsmoothed,0.016502119336182702,0.020580611492867558,visually_responsive_voxels,2
02,miniblock,unsmoothed,0.06238358275100659,0.06151987258736921,visually_responsive_voxels,3
02,miniblock,sm_2_vox,0.04729127981806503,0.07209886559501552,visually_responsive_voxels,1
02,miniblock,sm_2_vox,0.061885492181157006,0.08216070715264748,visually_responsive_voxels,2
02,miniblock,sm_2_vox,0.05185485781679741,0.05997328499449972,visually_responsive_voxels,3
02,sus,unsmoothed,0.033079437640974624,0.044643563129188546,visually_responsive_voxels,1
02,sus,unsmoothed,0.05265568821462517,0.05344817628606797,visually_responsive_voxels,2
02,sus,unsmoothed,0.010611269920667458,0.01993418851135004,visually_responsive_voxels,3
02,sus,sm_2_vox,0.04578690375313664,0.0804802841141528,visually_responsive_voxels,1
02,sus,sm_2_vox,0.07736824842356468,0.0889848201883421,visually_responsive_voxels,2
02,sus,sm_2_vox,0.07509624477270929,0.08086608545084717,visually_responsive_voxels,3
02,er,unsmoothed,0.014719653827890623,0.014648946129098952,visually_responsive_voxels,1
02,er,unsmoothed,0.02599033745498857,0.025885681989942077,visually_responsive_voxels,2
02,er,unsmoothed,0.00423118574479224,0.003976914787851158,visually_responsive_voxels,3
02,er,sm_2_vox,0.04820766861532661,0.048432493923044294,visually_responsive_voxels,1
02,er,sm_2_vox,0.01932286073613517,0.024062734119368316,visually_responsive_voxels,2
02,er,sm_2_vox,0.06969101517260826,0.06890181891992478,visually_responsive_voxels,3
02,miniblock,unsmoothed,0.21964304075222515,0.21458379340121717,FFA,1
02,miniblock,unsmoothed,0.05294451564549067,0.04866931314630135,FFA,2
02,miniblock,unsmoothed,0.10949232077802101,0.0912532420836405,FFA,3
02,miniblock,sm_2_vox,0.47098196496520106,0.4208778466458726,FFA,1
02,miniblock,sm_2_vox,0.34055382240451065,0.3270365156955198,FFA,2
02,miniblock,sm_2_vox,0.3366368528521335,0.3094107953209446,FFA,3
02,sus,unsmoothed,0.1645761417415208,0.17892959325142,FFA,1
02,sus,unsmoothed,0.08259025493978603,0.0764134854627219,FFA,2
02,sus,unsmoothed,0.030968702543791284,0.05405606469499047,FFA,3
02,sus,sm_2_vox,0.4524431335634421,0.41198768499106736,FFA,1
02,sus,sm_2_vox,0.3577437038333653,0.34331883600670493,FFA,2
02,sus,sm_2_vox,0.33699554856337316,0.3179478344185641,FFA,3
02,er,unsmoothed,0.0367315122011108,0.028558061906016594,FFA,1
02,er,unsmoothed,0.079058429457627,0.06516265800315829,FFA,2
02,er,unsmoothed,0.04987500845150222,0.05925270015906152,FFA,3
02,er,sm_2_vox,0.17248313101215523,0.15419610475284823,FFA,1
02,er,sm_2_vox,0.19259694102978558,0.19629476006732072,FFA,2
02,er,sm_2_vox,0.148600127682437,0.16364837910221244,FFA,3
02,miniblock,unsmoothed,0.17185151560637968,0.15035740273950451,PPA,1
02,miniblock,unsmoothed,0.09340787694860908,0.0751981696764615,PPA,2
02,miniblock,unsmoothed,0.05826770358651531,0.08873185611624612,PPA,3
02,miniblock,sm_2_vox,0.32300788150697946,0.3058002192117549,PPA,1
02,miniblock,sm_2_vox,0.34569932818435184,0.3038211257654073,PPA,2
02,miniblock,sm_2_vox,0.30149762780751566,0.3029154618108925,PPA,3
02,sus,unsmoothed,0.10728240405693971,0.12155269345951152,PPA,1
02,sus,unsmoothed,0.08227996220806484,0.05711784764841383,PPA,2
02,sus,unsmoothed,0.056556769753820846,0.07602312101640511,PPA,3
02,sus,sm_2_vox,0.31650284080537255,0.31960165192937706,PPA,1
02,sus,sm_2_vox,0.14692425289470967,0.14576609009512403,PPA,2
02,sus,sm_2_vox,0.24011757024156033,0.20537806011599863,PPA,3
02,er,unsmoothed,0.035788533083988015,0.032580953406137585,PPA,1
02,er,unsmoothed,-0.031016478000854348,-0.021187425957785885,PPA,2
02,er,unsmoothed,0.047553929884701786,0.03236179531555579,PPA,3
02,er,sm_2_vox,0.010436111683489832,0.008125502344322726,PPA,1
02,er,sm_2_vox,-0.04883522409971812,-0.05058104472564339,PPA,2
02,er,sm_2_vox,0.06377316847480027,0.055581174791409706,PPA,3
02,miniblock,unsmoothed,0.15654113440414613,0.15695506480501806,EBA,1
02,miniblock,unsmoothed,0.0775079388565049,0.08063830560021998,EBA,2
02,miniblock,unsmoothed,0.07744310593967127,0.07716562882455517,EBA,3
02,miniblock,sm_2_vox,0.25357019491880545,0.2543838397225423,EBA,1
02,miniblock,sm_2_vox,0.2524661208268171,0.2560029538593702,EBA,2
02,miniblock,sm_2_vox,0.20931287673234084,0.21085497478592835,EBA,3
02,sus,unsmoothed,0.10238300455585882,0.12052270055669395,EBA,1
02,sus,unsmoothed,0.0763143658593459,0.07643155857514523,EBA,2
02,sus,unsmoothed,0.008768331506190611,0.023476963115088147,EBA,3
02,sus,sm_2_vox,0.23644258646324842,0.26640648685273643,EBA,1
02,sus,sm_2_vox,0.19427716884963211,0.20667628422469464,EBA,2
02,sus,sm_2_vox,0.11048598749700043,0.12688048972682006,EBA,3
02,er,unsmoothed,0.015679480942172645,0.011507718048253778,EBA,1
02,er,unsmoothed,0.008278811334245788,0.009370780628221907,EBA,2
02,er,unsmoothed,0.037879276045845144,0.03786601914276912,EBA,3
02,er,sm_2_vox,0.11099087073624338,0.09924213265468995,EBA,1
02,er,sm_2_vox,0.01217166176082538,0.01870210138026984,EBA,2
02,er,sm_2_vox,0.14770733899061383,0.1451118889694333,EBA,3
02,miniblock,unsmoothed,0.13987015889300639,0.14827784506750752,EVC,1
