,ROI,runtype,component,value
213,PPA,miniblock,19,0.5849277966784253
214,PPA,miniblock,20,0.5905510596594019
215,PPA,miniblock,21,0.5958135084408589
216,PPA,miniblock,22,0.6008431553948269
217,PPA,miniblock,23,0.6053523286952815
218,PPA,miniblock,24,0.6096638004810464
219,PPA,miniblock,25,0.6135810547117655
220,PPA,miniblock,26,0.6171691313328823
221,PPA,miniblock,27,0.6208922599499687
222,PPA,miniblock,28,0.624389665986142
223,PPA,miniblock,29,0.6278781214771342
224,PPA,miniblock,30,0.631081766292061
225,PPA,miniblock,31,0.6341020954586092
226,PPA,miniblock,32,0.6371535024282362
227,PPA,miniblock,33,0.639913195844757
228,PPA,miniblock,34,0.6424915009511015
229,PPA,miniblock,35,0.6451317386947346
230,PPA,miniblock,36,0.6475732378948854
231,PPA,miniblock,37,0.6500282073596975
232,PPA,miniblock,38,0.6523884878052719
233,PPA,miniblock,39,0.6544774736457663
234,EBA,miniblock,1,0.4346458139267376
235,EBA,miniblock,2,0.480683691059873
236,EBA,miniblock,3,0.5107923503840243
237,EBA,miniblock,4,0.5366972024463098
238,EBA,miniblock,5,0.5556290840900002
239,EBA,miniblock,6,0.5698501826173125
240,EBA,miniblock,7,0.5824201710792221
241,EBA,miniblock,8,0.5928250482567526
242,EBA,miniblock,9,0.6019442362913459
243,EBA,miniblock,10,0.6099369335349653
244,EBA,miniblock,11,0.6164958611786342
245,EBA,miniblock,12,0.62230215526299
246,EBA,miniblock,13,0.6275676283824948
247,EBA,miniblock,14,0.6322385610840515
248,EBA,miniblock,15,0.6365956414440759
249,EBA,miniblock,16,0.640276677252975
250,EBA,miniblock,17,0.6439803507922044
251,EBA,miniblock,18,0.6473631582346686
252,EBA,miniblock,19,0.6502572648271577
253,EBA,miniblock,20,0.6532057811739509
254,EBA,miniblock,21,0.6560293594358859
255,EBA,miniblock,22,0.6585406474079686
256,EBA,miniblock,23,0.6607959014791004
257,EBA,miniblock,24,0.6633451957373389
258,EBA,miniblock,25,0.6654803276221093
259,EBA,miniblock,26,0.6675515994961939
260,EBA,miniblock,27,0.6695965054001203
261,EBA,miniblock,28,0.6715347436051131
262,EBA,miniblock,29,0.6732772575356939
263,EBA,miniblock,30,0.6750495385280088
264,EBA,miniblock,31,0.6766045588447546
265,EBA,miniblock,32,0.678216813372434
