subject,runtype,smoothing,median_rel,mean_rel,ROI,comparison
02,sus,unsmoothed,0.04375271828681962,0.05461996589744724,visually_responsive_voxels,3
02,sus,sm_2_vox,0.07898100084568557,0.12402418379436199,visually_responsive_voxels,1
02,sus,sm_2_vox,0.06328058404620852,0.09477028703291641,visually_responsive_voxels,2
02,sus,sm_2_vox,0.08371250344810063,0.11070081978086141,visually_responsive_voxels,3
02,er,unsmoothed,0.014656224132037515,0.01587895916160376,visually_responsive_voxels,1
02,er,unsmoothed,0.05683268257920987,0.05570187269058371,visually_responsive_voxels,2
02,er,unsmoothed,0.005251224593542186,0.005748922811229134,visually_responsive_voxels,3
02,er,sm_2_vox,0.052150163148177796,0.05302143700923965,visually_responsive_voxels,1
02,er,sm_2_vox,0.0617361904441903,0.07333092569518507,visually_responsive_voxels,2
02,er,sm_2_vox,0.0027565701356048744,0.01318107344353823,visually_responsive_voxels,3
02,miniblock,unsmoothed,0.17179236160558367,0.19018559584653796,FFA,1
02,miniblock,unsmoothed,0.04075565621792703,0.05660303283982405,FFA,2
02,miniblock,unsmoothed,0.1206174974074708,0.13670807081611996,FFA,3
02,miniblock,sm_2_vox,0.5793325428820848,0.5020370401114144,FFA,1
02,miniblock,sm_2_vox,0.49850990215008206,0.422879209682292,FFA,2
02,miniblock,sm_2_vox,0.5157913779695449,0.44036790652043334,FFA,3
02,sus,unsmoothed,0.16786916007933342,0.18897191521714538,FFA,1
02,sus,unsmoothed,0.05443572428389095,0.07987916372635098,FFA,2
02,sus,unsmoothed,0.178498515240959,0.17869967197879666,FFA,3
02,sus,sm_2_vox,0.5622808267575432,0.4994827796458767,FFA,1
02,sus,sm_2_vox,0.49321885806285226,0.4452928974601872,FFA,2
02,sus,sm_2_vox,0.42842039209589555,0.41067733536907197,FFA,3
02,er,unsmoothed,0.06907260477553007,0.08080924123745617,FFA,1
02,er,unsmoothed,0.08638585106280078,0.08499895158629603,FFA,2
02,er,unsmoothed,0.07903473543213019,0.07755034978290859,FFA,3
02,er,sm_2_vox,0.2851501461879727,0.2853531996444467,FFA,1
02,er,sm_2_vox,0.3413671700649985,0.31845709343506284,FFA,2
02,er,sm_2_vox,0.2647867375294558,0.25263192520868505,FFA,3
02,miniblock,unsmoothed,0.14261822321619966,0.16736708595527344,PPA,1
02,miniblock,unsmoothed,0.17595386409425434,0.17432988465179264,PPA,2
02,miniblock,unsmoothed,0.16863456768628238,0.1803741009271137,PPA,3
02,miniblock,sm_2_vox,0.5938905425577367,0.5097221711802383,PPA,1
