,ROI,Design,Subject,Accuracy,group
175,visually_responsive_voxels,er,21,65.55555725097656,inanimate
176,visually_responsive_voxels,er,21,61.885963439941406,scene
177,visually_responsive_voxels,er,22,57.96296310424805,isanimate
178,visually_responsive_voxels,er,22,65.9259262084961,inanimate
179,visually_responsive_voxels,er,22,64.12281036376953,scene
180,FFA,miniblock,01,80.37036895751953,isanimate
181,FFA,miniblock,01,63.14814758300781,inanimate
182,FFA,miniblock,01,70.13157653808594,scene
183,FFA,miniblock,02,77.96295928955078,isanimate
184,FFA,miniblock,02,65.37036895751953,inanimate
185,FFA,miniblock,02,75.48245239257812,scene
186,FFA,miniblock,03,71.85185241699219,isanimate
187,FFA,miniblock,03,61.66666793823242,inanimate
188,FFA,miniblock,03,56.92982482910156,scene
189,FFA,miniblock,04,72.03704071044922,isanimate
190,FFA,miniblock,04,60.925926208496094,inanimate
191,FFA,miniblock,04,65.87718963623047,scene
192,FFA,miniblock,05,74.25926208496094,isanimate
193,FFA,miniblock,05,71.66666412353516,inanimate
194,FFA,miniblock,05,59.64912414550781,scene
195,FFA,miniblock,06,63.703704833984375,isanimate
196,FFA,miniblock,06,71.85185241699219,inanimate
197,FFA,miniblock,06,54.8684196472168,scene
198,FFA,miniblock,07,77.03704071044922,isanimate
199,FFA,miniblock,07,62.22222137451172,inanimate
200,FFA,miniblock,07,65.6140365600586,scene
201,FFA,miniblock,08,68.33333587646484,isanimate
202,FFA,miniblock,08,65.74073791503906,inanimate
203,FFA,miniblock,08,66.4473648071289,scene
204,FFA,miniblock,10,58.51852035522461,isanimate
205,FFA,miniblock,10,59.62963104248047,inanimate
206,FFA,miniblock,10,59.342105865478516,scene
207,FFA,miniblock,11,66.11111450195312,isanimate
208,FFA,miniblock,11,68.33333587646484,inanimate
209,FFA,miniblock,11,69.07894897460938,scene
210,FFA,miniblock,12,81.48148345947266,isanimate
211,FFA,miniblock,12,66.29629516601562,inanimate
212,FFA,miniblock,12,68.81578826904297,scene
213,FFA,miniblock,13,64.0740737915039,isanimate
214,FFA,miniblock,13,56.48147964477539,inanimate
215,FFA,miniblock,13,58.421051025390625,scene
216,FFA,miniblock,14,69.0740737915039,isanimate
217,FFA,miniblock,14,57.77777862548828,inanimate
218,FFA,miniblock,14,64.42982482910156,scene
219,FFA,miniblock,15,83.70370483398438,isanimate
220,FFA,miniblock,15,75.37036895751953,inanimate
221,FFA,miniblock,15,79.3859634399414,scene
222,FFA,miniblock,17,71.66666412353516,isanimate
223,FFA,miniblock,17,67.03704071044922,inanimate
224,FFA,miniblock,17,57.675437927246094,scene
225,FFA,miniblock,18,77.59259033203125,isanimate
226,FFA,miniblock,18,68.88888549804688,inanimate
227,FFA,miniblock,18,67.6754379272461,scene
228,FFA,miniblock,19,68.88888549804688,isanimate
229,FFA,miniblock,19,53.51852035522461,inanimate
