,ROI,Design,Subject,Accuracy
177,PPA,er,20,48.514957427978516
178,PPA,er,21,51.14316177368164
179,PPA,er,22,59.52991485595703
180,EBA,miniblock,01,78.88888549804688
181,EBA,miniblock,02,81.3568344116211
182,EBA,miniblock,03,64.29486846923828
183,EBA,miniblock,04,69.60469818115234
184,EBA,miniblock,05,73.55769348144531
185,EBA,miniblock,06,63.41880416870117
186,EBA,miniblock,07,71.70940399169922
187,EBA,miniblock,08,80.11752319335938
188,EBA,miniblock,10,64.94657897949219
189,EBA,miniblock,11,73.0128173828125
190,EBA,miniblock,12,77.53205108642578
191,EBA,miniblock,13,66.29273223876953
192,EBA,miniblock,14,72.29701232910156
193,EBA,miniblock,15,81.81623840332031
194,EBA,miniblock,17,64.97863006591797
195,EBA,miniblock,18,84.45513153076172
196,EBA,miniblock,19,62.2970085144043
197,EBA,miniblock,20,70.41666412353516
198,EBA,miniblock,21,81.45298767089844
199,EBA,miniblock,22,73.8354721069336
200,EBA,sus,01,74.39102935791016
201,EBA,sus,02,77.70298767089844
202,EBA,sus,03,64.03845977783203
203,EBA,sus,04,69.6474380493164
204,EBA,sus,05,72.04059600830078
205,EBA,sus,06,67.32906341552734
206,EBA,sus,07,69.33760833740234
207,EBA,sus,08,77.30769348144531
208,EBA,sus,10,61.271366119384766
209,EBA,sus,11,69.61538696289062
210,EBA,sus,12,75.66239166259766
211,EBA,sus,13,54.63675308227539
212,EBA,sus,14,61.46367645263672
213,EBA,sus,15,77.13674926757812
214,EBA,sus,17,54.123931884765625
215,EBA,sus,18,82.9059829711914
216,EBA,sus,19,57.77777862548828
217,EBA,sus,20,71.72008514404297
218,EBA,sus,21,80.39530181884766
219,EBA,sus,22,69.79701232910156
220,EBA,er,01,58.27991485595703
221,EBA,er,02,67.22222137451172
222,EBA,er,03,52.79914474487305
223,EBA,er,04,57.2970085144043
224,EBA,er,05,61.58119583129883
225,EBA,er,06,49.871795654296875
226,EBA,er,07,63.03418731689453
227,EBA,er,08,61.239315032958984
228,EBA,er,10,64.12393188476562
229,EBA,er,11,57.86324691772461
230,EBA,er,12,64.27350616455078
231,EBA,er,13,57.95940017700195
232,EBA,er,14,59.71154022216797
233,EBA,er,15,61.44230651855469
234,EBA,er,17,55.908119201660156
235,EBA,er,18,62.72435760498047
236,EBA,er,19,55.77991485595703
237,EBA,er,20,57.63888931274414
238,EBA,er,21,71.8482894897461
239,EBA,er,22,61.55982971191406
240,EVC,miniblock,01,79.28418731689453
241,EVC,miniblock,02,83.73931884765625
242,EVC,miniblock,03,85.53418731689453
243,EVC,miniblock,04,75.09615325927734
244,EVC,miniblock,05,78.62179565429688
245,EVC,miniblock,06,61.57051467895508
246,EVC,miniblock,07,77.56410217285156
247,EVC,miniblock,08,80.66239166259766
248,EVC,miniblock,10,77.27564239501953
249,EVC,miniblock,11,86.47435760498047
250,EVC,miniblock,12,84.51923370361328
251,EVC,miniblock,13,68.29059600830078
252,EVC,miniblock,14,77.26495361328125
253,EVC,miniblock,15,89.11325073242188
254,EVC,miniblock,17,76.94444274902344
255,EVC,miniblock,18,91.18589782714844
256,EVC,miniblock,19,68.24786376953125
257,EVC,miniblock,20,75.63034057617188
258,EVC,miniblock,21,78.3974380493164
259,EVC,miniblock,22,93.8354721069336
260,EVC,sus,01,75.60897064208984
261,EVC,sus,02,85.1068344116211
262,EVC,sus,03,77.32906341552734
263,EVC,sus,04,72.67093658447266
264,EVC,sus,05,72.4145278930664
265,EVC,sus,06,69.88247680664062
266,EVC,sus,07,76.21794891357422
267,EVC,sus,08,84.22008514404297
268,EVC,sus,10,81.88034057617188
269,EVC,sus,11,85.491455078125
270,EVC,sus,12,84.19871520996094
271,EVC,sus,13,56.72008514404297
272,EVC,sus,14,66.94444274902344
273,EVC,sus,15,90.8974380493164
274,EVC,sus,17,62.71367645263672
275,EVC,sus,18,93.45085144042969
276,EVC,sus,19,67.59615325927734
277,EVC,sus,20,71.23931884765625
278,EVC,sus,21,73.69657897949219
279,EVC,sus,22,92.42521667480469
280,EVC,er,01,51.378204345703125
281,EVC,er,02,66.25
282,EVC,er,03,61.485042572021484
283,EVC,er,04,56.06837463378906
284,EVC,er,05,59.882476806640625
285,EVC,er,06,58.53632354736328
286,EVC,er,07,60.235042572021484
287,EVC,er,08,58.53632354736328
288,EVC,er,10,59.31623840332031
289,EVC,er,11,69.45513153076172
290,EVC,er,12,62.232906341552734
291,EVC,er,13,58.27991485595703
292,EVC,er,14,56.591880798339844
293,EVC,er,15,70.30982971191406
294,EVC,er,17,56.42094039916992
295,EVC,er,18,70.43803405761719
296,EVC,er,19,62.60683822631836
297,EVC,er,20,54.46581268310547
298,EVC,er,21,68.19444274902344
299,EVC,er,22,69.60469818115234
