subject,runtype,smoothing,split,median_reliability,mean_reliability,maximum_reliability,ROI
03,er,unsmoothed,2,0.012072268374248657,0.011216797594558322,0.5441807462784769,EBA
03,er,unsmoothed,3,0.00807474076434398,0.010048842417243341,0.4666112443706828,EBA
03,er,unsmoothed,4,-0.0086851499370654,-0.014649012142575654,0.42976159345605885,EBA
03,er,unsmoothed,5,0.02944884082365133,0.027418557186366824,0.5252632598752712,EBA
03,er,unsmoothed,6,-0.007769924915406158,-0.011770833419269287,0.42013059229842553,EBA
03,er,unsmoothed,7,0.036514469873428435,0.02997884868069516,0.5425197386705958,EBA
03,er,unsmoothed,8,0.03514432805564288,0.03177530885698461,0.5583026695352249,EBA
03,er,unsmoothed,9,0.022470028670542874,0.02502862423011657,0.5086215753519182,EBA
03,er,unsmoothed,10,0.00465764105726485,0.010583966420910876,0.4961747592119131,EBA
03,er,sm_2_vox,1,0.07072759631510765,0.07453072962655805,0.5021291532492265,EBA
03,er,sm_2_vox,2,0.06392638590972836,0.06433422348035693,0.5189167614249892,EBA
03,er,sm_2_vox,3,0.05127680008901636,0.05176989277840832,0.49254794125809087,EBA
03,er,sm_2_vox,4,0.05369523000920215,0.04554524388130715,0.4309593420061243,EBA
03,er,sm_2_vox,5,0.05362485048103548,0.05279705589542235,0.4590749308979444,EBA
03,er,sm_2_vox,6,0.021620330954960285,0.024390309394865185,0.5026210276550581,EBA
03,er,sm_2_vox,7,0.12567070249564088,0.1192786654359697,0.6333132214808364,EBA
03,er,sm_2_vox,8,0.07005411961411809,0.07730069633018068,0.6761067482283166,EBA
03,er,sm_2_vox,9,0.07340124076008417,0.07517906504909047,0.5237406558468184,EBA
03,er,sm_2_vox,10,0.11463313601710085,0.11076138183858396,0.500524596140044,EBA
03,sus,unsmoothed,1,0.0015241377870174669,0.006634322476810285,0.47297117336328803,EBA
03,sus,unsmoothed,2,0.01847730673503812,0.02792575812435697,0.6770914498903969,EBA
03,sus,unsmoothed,3,0.03548042908800919,0.03742638589681616,0.6629936532832783,EBA
03,sus,unsmoothed,4,0.015536721368791473,0.02034448935835461,0.6030381845127794,EBA
03,sus,unsmoothed,5,0.03272819758899087,0.032589321294980385,0.7140796633183601,EBA
03,sus,unsmoothed,6,0.0004590760434490769,0.00840586325252886,0.589213863946128,EBA
03,sus,unsmoothed,7,0.01731030407329573,0.014314394151434916,0.6160462628228713,EBA
03,sus,unsmoothed,8,-0.0019435456459061043,0.0010154161904744937,0.575170088706771,EBA
03,sus,unsmoothed,9,0.015772814718262557,0.01930006888523628,0.5571390096388593,EBA
03,sus,unsmoothed,10,-0.01071060460622597,0.0038916286124942513,0.6176984328196945,EBA
03,sus,sm_2_vox,1,0.14693846605383196,0.15358000103551794,0.6476242173088074,EBA
03,sus,sm_2_vox,2,0.12984760628222217,0.15564328298419444,0.6828923831489693,EBA
03,sus,sm_2_vox,3,0.1255510791169974,0.15361529929841972,0.7188482562618608,EBA
03,sus,sm_2_vox,4,0.11026233351866793,0.12888391985309283,0.6654462313754002,EBA
03,sus,sm_2_vox,5,0.1263692937946124,0.16117290036317147,0.7519080034141539,EBA
