,subject,ROI,runtype,component,value
481,02,FFA,sus,14,0.5675007188263729
482,02,FFA,sus,15,0.5725950204742575
483,02,FFA,sus,16,0.5812090546181857
484,02,FFA,sus,17,0.5880289175632681
485,02,FFA,sus,18,0.5936110398397957
486,02,FFA,sus,19,0.5979069975104003
487,02,FFA,sus,20,0.6018948604498626
488,02,FFA,sus,21,0.607140580659511
489,02,FFA,sus,22,0.6112480258276869
490,02,FFA,sus,23,0.6151178884360813
491,02,FFA,sus,24,0.6185084292371562
492,02,FFA,sus,25,0.6214647331224574
493,02,FFA,sus,26,0.6245652855157492
494,02,FFA,sus,27,0.6279195948195581
495,02,FFA,sus,28,0.6310904501630322
496,02,FFA,sus,29,0.6339549147082362
497,02,FFA,sus,30,0.6374467771092379
498,02,FFA,sus,31,0.6391878044330532
499,02,FFA,sus,32,0.641809248790662
500,02,FFA,sus,33,0.6438956562237953
501,02,FFA,sus,34,0.6457557809332235
502,02,FFA,sus,35,0.6471441945435458
503,02,FFA,sus,36,0.6490137128293613
504,02,FFA,sus,37,0.6507715704735452
505,02,FFA,sus,38,0.6527578476854349
506,02,FFA,sus,39,0.6550105677339539
507,02,PPA,sus,1,0.5296135880249938
508,02,PPA,sus,2,0.5907994175542196
509,02,PPA,sus,3,0.6191124467219945
510,02,PPA,sus,4,0.6472459940176131
511,02,PPA,sus,5,0.6741682793406497
512,02,PPA,sus,6,0.6886947021735397
513,02,PPA,sus,7,0.7042686668022341
514,02,PPA,sus,8,0.7142046704930941
515,02,PPA,sus,9,0.7214273628723195
516,02,PPA,sus,10,0.7295192243958493
517,02,PPA,sus,11,0.7372846818541537
518,02,PPA,sus,12,0.7412772551675081
519,02,PPA,sus,13,0.7467194157316804
520,02,PPA,sus,14,0.7509242789001961
521,02,PPA,sus,15,0.7547989819993436
522,02,PPA,sus,16,0.7584001761041335
523,02,PPA,sus,17,0.762153609301713
524,02,PPA,sus,18,0.766446509942749
525,02,PPA,sus,19,0.7692034712310617
526,02,PPA,sus,20,0.7713840437519255
527,02,PPA,sus,21,0.7744425641067426
528,02,PPA,sus,22,0.7777851403078287
529,02,PPA,sus,23,0.7802885805564456
530,02,PPA,sus,24,0.7823354590465681
531,02,PPA,sus,25,0.7842809246311623
532,02,PPA,sus,26,0.7864699630111215
533,02,PPA,sus,27,0.7885185104028216
534,02,PPA,sus,28,0.7902335965106588
535,02,PPA,sus,29,0.7920215872651809
536,02,PPA,sus,30,0.7934777217826988
537,02,PPA,sus,31,0.794593917822853
538,02,PPA,sus,32,0.7955850160348342
539,02,PPA,sus,33,0.7976861658131632
540,02,PPA,sus,34,0.7988673096966531
541,02,PPA,sus,35,0.8000622437341338
542,02,PPA,sus,36,0.8014793940756205
543,02,PPA,sus,37,0.8026877414122051
544,02,PPA,sus,38,0.8040067946104351
545,02,PPA,sus,39,0.8049812897160024
546,02,EBA,sus,1,0.37442429664806526
547,02,EBA,sus,2,0.4467586391362312
548,02,EBA,sus,3,0.48475007951409305
549,02,EBA,sus,4,0.5059830759067843
550,02,EBA,sus,5,0.5240031646854822
551,02,EBA,sus,6,0.5508198568146511
552,02,EBA,sus,7,0.5678178313754275
553,02,EBA,sus,8,0.5831517973229269
554,02,EBA,sus,9,0.5950102751949198
555,02,EBA,sus,10,0.6047942831832848
556,02,EBA,sus,11,0.6177221470110813
557,02,EBA,sus,12,0.6274323618070136
558,02,EBA,sus,13,0.6325867605643415
559,02,EBA,sus,14,0.6373796102833548
560,02,EBA,sus,15,0.6420824927620341
561,02,EBA,sus,16,0.6483891385926859
562,02,EBA,sus,17,0.6528597046326343
563,02,EBA,sus,18,0.6576614219256858
